INFO 2016-10-18 00:32:47,867 Training start
INFO 2016-10-18 00:33:03,097 Training start
INFO 2016-10-18 00:35:46,623 Training start
INFO 2016-10-18 00:37:17,979 Training start
INFO 2016-10-18 00:42:39,575 Training start
INFO 2016-10-18 00:50:24,532 Training start
INFO 2016-10-18 01:02:32,194 Training start
INFO 2016-10-18 01:04:04,289 Training start
INFO 2016-10-18 01:20:19,035 Training start
INFO 2016-10-18 09:54:34,571 Training start
INFO 2016-10-18 10:08:54,980 Training start
INFO 2016-10-18 10:14:14,760 Training start
INFO 2016-10-18 10:15:47,207 Training start
INFO 2016-10-18 10:30:16,949 Training start
INFO 2016-10-18 10:43:19,353 Training start
INFO 2016-10-18 10:43:39,384 Training start
INFO 2016-10-18 10:49:23,698 Training start
INFO 2016-10-18 11:01:30,467 Training start
INFO 2016-10-18 11:03:36,576 Training start
INFO 2016-10-18 11:09:30,092 Training start
INFO 2016-10-18 11:14:01,917 Training start
INFO 2016-10-18 11:15:53,697 Training start
INFO 2016-10-18 11:17:28,071 Training start
INFO 2016-10-18 11:19:27,114 Training start
INFO 2016-10-18 11:21:27,420 Training start
INFO 2016-10-18 11:33:10,806 Training start
INFO 2016-10-18 11:33:47,064 Training start
INFO 2016-10-18 11:35:18,785 Training start
INFO 2016-10-18 11:37:51,058 Training start
INFO 2016-10-18 11:38:58,586 Training start
INFO 2016-10-18 11:40:05,878 Training start
INFO 2016-10-18 11:40:09,009 Mean loss in 0th epoch is: nan
INFO 2016-10-18 11:41:54,540 Training start
INFO 2016-10-18 11:41:57,503 Mean loss in 0th epoch is: nan
INFO 2016-10-18 11:44:25,402 Training start
INFO 2016-10-18 11:44:28,482 Mean loss in 0th epoch is: nan
INFO 2016-10-18 13:39:23,816 Training start
INFO 2016-10-18 13:39:26,857 Mean loss in 0th epoch is: nan
INFO 2016-10-18 13:50:57,099 Training start
INFO 2016-10-18 13:51:00,180 Mean loss in 0th epoch is: nan
INFO 2016-10-18 13:51:11,924 Training start
INFO 2016-10-18 13:51:14,971 Mean loss in 0th epoch is: nan
INFO 2016-10-18 13:54:46,972 Training start
INFO 2016-10-18 13:54:50,315 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:00:42,114 Training start
INFO 2016-10-18 14:00:45,368 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:01:40,263 Training start
INFO 2016-10-18 14:01:43,704 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:03:15,016 Training start
INFO 2016-10-18 14:03:18,163 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:07:28,638 Training start
INFO 2016-10-18 14:08:29,575 Training start
INFO 2016-10-18 14:08:32,660 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:09:47,242 Training start
INFO 2016-10-18 14:09:50,288 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:15:50,734 Training start
INFO 2016-10-18 14:15:53,767 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:16:42,803 Training start
INFO 2016-10-18 14:16:45,785 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:22:23,487 Training start
INFO 2016-10-18 14:22:26,635 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:22:35,956 Training start
INFO 2016-10-18 14:22:39,076 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:31:06,996 Training start
INFO 2016-10-18 14:31:09,985 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:31:55,370 Training start
INFO 2016-10-18 14:31:58,386 Mean loss in 0th epoch is: nan
INFO 2016-10-18 14:54:24,893 Training start
INFO 2016-10-18 14:56:13,681 Training start
INFO 2016-10-18 14:57:47,021 Training start
INFO 2016-10-18 14:58:55,810 Training start
INFO 2016-10-18 15:02:53,662 Training start
INFO 2016-10-18 15:08:00,934 Training start
INFO 2016-10-18 15:08:03,860 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:21:27,968 Training start
INFO 2016-10-18 15:21:30,886 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:29:35,611 Training start
INFO 2016-10-18 15:29:38,567 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:30:34,065 Training start
INFO 2016-10-18 15:30:37,109 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:32:16,610 Training start
INFO 2016-10-18 15:32:19,781 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:33:29,690 Training start
INFO 2016-10-18 15:33:32,749 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:41:26,109 Training start
INFO 2016-10-18 15:41:29,291 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:44:13,798 Training start
INFO 2016-10-18 15:44:16,861 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:44:46,924 Training start
INFO 2016-10-18 15:44:49,944 Mean loss in 0th epoch is: nan
INFO 2016-10-18 15:48:14,040 Training start
INFO 2016-10-18 15:48:17,072 Mean loss in 0th epoch is: 2.66447210312
INFO 2016-10-18 16:23:08,448 Training start
INFO 2016-10-18 16:23:11,498 Mean loss in 0th epoch is: 2.776512146
INFO 2016-10-18 16:24:40,993 Training start
INFO 2016-10-18 16:25:04,276 Training start
INFO 2016-10-18 16:25:07,409 Mean loss in 0th epoch is: 2.70026922226
INFO 2016-10-18 16:28:06,699 Training start
INFO 2016-10-18 16:28:09,651 Mean loss in 0th epoch is: 2.71079945564
INFO 2016-10-18 16:30:46,540 Training start
INFO 2016-10-18 16:30:49,596 Mean loss in 0th epoch is: 2.7015042305
INFO 2016-10-18 16:53:19,610 Training start
INFO 2016-10-18 16:53:22,651 Mean loss in 0th epoch is: 2.63519787788
INFO 2016-10-18 17:03:59,356 Training start
INFO 2016-10-18 17:09:06,147 Training start
INFO 2016-10-18 17:09:09,213 Mean loss in 0th epoch is: 2.76932382584
INFO 2016-10-18 17:12:33,070 Training start
INFO 2016-10-18 17:12:36,128 Mean loss in 0th epoch is: 2.72232580185
INFO 2016-10-18 17:14:19,226 Training start
INFO 2016-10-18 17:14:22,343 Mean loss in 0th epoch is: 2.78188514709
INFO 2016-10-18 17:19:53,257 Training start
INFO 2016-10-18 17:19:56,396 Mean loss in 0th epoch is: 2.66136169434
INFO 2016-10-18 17:19:57,486 Overall VALIDATION loss is: 2.47434067726
INFO 2016-10-18 17:19:57,487 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:19:58,734 Mean loss in 1th epoch is: 2.44699072838
INFO 2016-10-18 17:19:59,718 Overall VALIDATION loss is: 2.3677341938
INFO 2016-10-18 17:19:59,718 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:20:00,919 Mean loss in 2th epoch is: 2.36695981026
INFO 2016-10-18 17:20:01,261 Overall VALIDATION loss is: 2.34325814247
INFO 2016-10-18 17:20:01,261 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:20:02,572 Mean loss in 3th epoch is: 2.33086013794
INFO 2016-10-18 17:20:02,953 Overall VALIDATION loss is: 2.31280040741
INFO 2016-10-18 17:20:02,953 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:20:04,113 Mean loss in 4th epoch is: 2.2898170948
INFO 2016-10-18 17:20:04,517 Overall VALIDATION loss is: 2.28458857536
INFO 2016-10-18 17:20:04,518 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:20:05,774 Mean loss in 5th epoch is: 2.32606935501
INFO 2016-10-18 17:57:12,978 Training start
INFO 2016-10-18 17:57:16,022 Mean loss in 0th epoch is: 2.68431377411
INFO 2016-10-18 17:57:17,094 Overall VALIDATION loss is: 2.4350438118
INFO 2016-10-18 17:57:17,094 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:57:18,371 Mean loss in 1th epoch is: 2.40298676491
INFO 2016-10-18 17:57:18,762 Overall VALIDATION loss is: 2.3696975708
INFO 2016-10-18 17:57:18,762 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 17:57:20,064 Mean loss in 2th epoch is: 2.34924602509
INFO 2016-10-18 18:11:55,799 Training start
INFO 2016-10-18 18:11:58,958 Mean loss in 0th epoch is: 2.63236784935
INFO 2016-10-18 18:18:38,585 Training start
INFO 2016-10-18 18:18:41,585 Mean loss in 0th epoch is: 2.70104670525
INFO 2016-10-18 18:19:30,117 Training start
INFO 2016-10-18 18:19:33,203 Mean loss in 0th epoch is: 2.64964723587
INFO 2016-10-18 18:20:09,841 Training start
INFO 2016-10-18 18:20:12,949 Mean loss in 0th epoch is: 2.70536732674
INFO 2016-10-18 18:20:13,965 Overall VALIDATION loss is: 2.55300569534
INFO 2016-10-18 18:20:13,965 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:15,288 Mean loss in 1th epoch is: 2.46672439575
INFO 2016-10-18 18:20:16,280 Overall VALIDATION loss is: 2.4014673233
INFO 2016-10-18 18:20:16,281 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:17,570 Mean loss in 2th epoch is: 2.39272499084
INFO 2016-10-18 18:20:18,669 Overall VALIDATION loss is: 2.37619900703
INFO 2016-10-18 18:20:18,669 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:19,948 Mean loss in 3th epoch is: 2.36984300613
INFO 2016-10-18 18:20:20,404 Overall VALIDATION loss is: 2.34756398201
INFO 2016-10-18 18:20:20,404 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:21,580 Mean loss in 4th epoch is: 2.33166599274
INFO 2016-10-18 18:20:21,930 Overall VALIDATION loss is: 2.32250404358
INFO 2016-10-18 18:20:21,930 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:23,255 Mean loss in 5th epoch is: 2.31926965714
INFO 2016-10-18 18:20:23,642 Overall VALIDATION loss is: 2.29815888405
INFO 2016-10-18 18:20:23,642 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:24,854 Mean loss in 6th epoch is: 2.28557872772
INFO 2016-10-18 18:20:25,241 Overall VALIDATION loss is: 2.27279472351
INFO 2016-10-18 18:20:25,241 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:26,488 Mean loss in 7th epoch is: 2.26993751526
INFO 2016-10-18 18:20:26,850 Overall VALIDATION loss is: 2.30404949188
INFO 2016-10-18 18:20:26,850 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:27,166 Mean loss in 8th epoch is: 2.27459192276
INFO 2016-10-18 18:20:27,550 Overall VALIDATION loss is: 2.2728471756
INFO 2016-10-18 18:20:27,550 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:27,879 Mean loss in 9th epoch is: 2.2537446022
INFO 2016-10-18 18:20:28,269 Overall VALIDATION loss is: 2.25259113312
INFO 2016-10-18 18:20:28,269 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:29,558 Mean loss in 10th epoch is: 2.23941111565
INFO 2016-10-18 18:20:29,975 Overall VALIDATION loss is: 2.23465776443
INFO 2016-10-18 18:20:29,975 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:31,185 Mean loss in 11th epoch is: 2.22331929207
INFO 2016-10-18 18:20:31,566 Overall VALIDATION loss is: 2.23683214188
INFO 2016-10-18 18:20:31,566 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:31,885 Mean loss in 12th epoch is: 2.23075628281
INFO 2016-10-18 18:20:32,270 Overall VALIDATION loss is: 2.2116727829
INFO 2016-10-18 18:20:32,270 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:33,552 Mean loss in 13th epoch is: 2.20594000816
INFO 2016-10-18 18:20:33,933 Overall VALIDATION loss is: 2.20333051682
INFO 2016-10-18 18:20:33,933 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:35,189 Mean loss in 14th epoch is: 2.19827270508
INFO 2016-10-18 18:20:35,641 Overall VALIDATION loss is: 2.18294978142
INFO 2016-10-18 18:20:35,641 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:36,895 Mean loss in 15th epoch is: 2.2167391777
INFO 2016-10-18 18:20:37,317 Overall VALIDATION loss is: 2.19145822525
INFO 2016-10-18 18:20:37,317 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:20:37,647 Mean loss in 16th epoch is: 2.19223189354
INFO 2016-10-18 18:26:27,022 Training start
INFO 2016-10-18 18:26:30,066 Mean loss in 0th epoch is: 2.825050354
INFO 2016-10-18 18:26:31,256 Overall VALIDATION loss is: 2.44991636276
INFO 2016-10-18 18:26:31,257 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:26:32,603 Mean loss in 1th epoch is: 2.44540214539
INFO 2016-10-18 18:26:33,713 Overall VALIDATION loss is: 2.40361785889
INFO 2016-10-18 18:26:33,713 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:26:34,972 Mean loss in 2th epoch is: 2.39110779762
INFO 2016-10-18 18:26:36,166 Overall VALIDATION loss is: 2.37162089348
INFO 2016-10-18 18:26:36,166 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:26:37,505 Mean loss in 3th epoch is: 2.36316490173
INFO 2016-10-18 18:26:37,987 Overall VALIDATION loss is: 2.33324146271
INFO 2016-10-18 18:26:37,987 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:26:39,242 Mean loss in 4th epoch is: 2.32224321365
INFO 2016-10-18 18:26:39,703 Overall VALIDATION loss is: 2.35093021393
INFO 2016-10-18 18:26:39,704 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:26:40,021 Mean loss in 5th epoch is: 2.30633544922
INFO 2016-10-18 18:29:50,414 Training start
INFO 2016-10-18 18:29:53,474 Mean loss in 0th epoch is: 2.61134386063
INFO 2016-10-18 18:29:54,515 Overall VALIDATION loss is: 2.68524742126
INFO 2016-10-18 18:29:54,515 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:29:55,817 Mean loss in 1th epoch is: 2.54359579086
INFO 2016-10-18 18:29:56,821 Overall VALIDATION loss is: 2.40395760536
INFO 2016-10-18 18:29:56,821 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:29:58,071 Mean loss in 2th epoch is: 2.39972996712
INFO 2016-10-18 18:29:59,068 Overall VALIDATION loss is: 2.38487052917
INFO 2016-10-18 18:29:59,068 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:00,359 Mean loss in 3th epoch is: 2.37914872169
INFO 2016-10-18 18:30:01,334 Overall VALIDATION loss is: 2.36157941818
INFO 2016-10-18 18:30:01,334 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:02,525 Mean loss in 4th epoch is: 2.3511838913
INFO 2016-10-18 18:30:02,898 Overall VALIDATION loss is: 2.32383966446
INFO 2016-10-18 18:30:02,898 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:04,098 Mean loss in 5th epoch is: 2.3336930275
INFO 2016-10-18 18:30:04,437 Overall VALIDATION loss is: 2.31440496445
INFO 2016-10-18 18:30:04,437 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:05,652 Mean loss in 6th epoch is: 2.31293439865
INFO 2016-10-18 18:30:06,006 Overall VALIDATION loss is: 2.30764436722
INFO 2016-10-18 18:30:06,006 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:07,231 Mean loss in 7th epoch is: 2.29332256317
INFO 2016-10-18 18:30:07,599 Overall VALIDATION loss is: 2.2794084549
INFO 2016-10-18 18:30:07,599 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:08,907 Mean loss in 8th epoch is: 2.28656435013
INFO 2016-10-18 18:30:09,310 Overall VALIDATION loss is: 2.26902842522
INFO 2016-10-18 18:30:09,310 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:10,466 Mean loss in 9th epoch is: 2.26415777206
INFO 2016-10-18 18:30:10,885 Overall VALIDATION loss is: 2.28217530251
